Id,TimeStamp,Model,Latitude,Longitude,RodCount,Rotation Speed Max (rpm),Rotation Torque Max (ft-lb),Thrust Force Max (lbf),Mud Flow Rate Avg (gpm),Mud Pressure Max (psi),Thrust Speed Avg (ft/min),Pull Force Maximum (lbf),Pull Speed Average (ft/min),Drill String Length (ft)
89733,11/18/2022 17:41:00,D23X30 S3,48.2,-102.85,2,109,913,8430,5.2,61,10,0,0,34
89733,11/18/2022 17:44:07,D23X30 S3,48.2,-102.85,3,108,989,11342,5.4,154,10,0,0,44
89733,11/18/2022 17:36:44,D23X30 S3,48.2,-102.85,4,,307,872,4.7,53,1,1125,0,34
89733,11/18/2022 17:46:23,D23X30 S3,48.2,-102.85,2,109,1048,13828,8.3,146,8,0,0,34
89733,11/18/2022 18:03:28,D23X30 S3,48.2,-102.85,4,113,1263,16033,7.8,474,10,0,0,54
89733,11/18/2022 18:05:23,D23X30 S3,48.2,-102.85,5,112,1259,9954,7.5,165,10,0,0,64
89733,11/18/2022 17:25:17,D23X30 S3,48.2,-102.85,6,106,260,3245,7.8,139,32,778,0,74
89733,11/18/2022 19:12:43,D23X30 S3,48.2,-102.85,8,111,272,3479,8.1,148,26,448,0,94
89733,11/18/2022 18:01:58,D23X30 S3,48.2,-102.85,9,107,278,4022,7.6,145,35,1687,0,104
89733,11/18/2022 18:26:56,D23X30 S3,48.2,-102.85,13,110,703,8990,7.4,483,12,0,0,144
89733,11/18/2022 18:18:06,D23X30 S3,48.2,-102.85,14,106,1512,16729,7.5,220,8,0,0,154
89733,11/18/2022 18:23:26,D23X30 S3,48.2,-102.85,15,113,1605,4956,8.1,130,14,0,0,164
89733,11/18/2022 18:25:51,D23X30 S3,48.2,-102.85,16,111,296,2791,21,149,18,2137,11,154
89733,11/18/2022 19:22:13,D23X30 S3,48.2,-102.85,2,112,726,10280,7.7,235,13,0,0,34
89733,11/18/2022 19:59:55,D23X30 S3,48.2,-102.85,4,107,979,10107,7.5,112,12,0,0,54
89733,11/18/2022 20:06:31,D23X30 S3,48.2,-102.85,5,106,525,5425,8.3,138,14,401,0,64
89733,11/18/2022 20:39:09,D23X30 S3,48.2,-102.85,8,104,415,5156,9.9,166,12,0,0,94
89733,11/18/2022 20:12:12,D23X30 S3,48.2,-102.85,9,,850,6056,10.6,163,9,0,0,104
89733,11/18/2022 20:13:07,D23X30 S3,48.2,-102.85,11,107,1091,14001,10.1,415,11,0,0,124
89733,11/18/2022 20:12:33,D23X30 S3,48.2,-102.85,12,114,1028,11439,9.7,195,11,511,0,134
89733,11/18/2022 20:15:18,D23X30 S3,48.2,-102.85,14,111,1805,19194,9.4,220,9,0,0,154
89733,11/18/2022 20:14:28,D23X30 S3,48.2,-102.85,15,112,1740,20362,9.9,275,10,0,0,164
89733,11/18/2022 20:16:30,D23X30 S3,48.2,-102.85,16,111,1734,20169,10.1,302,12,0,0,174
89733,11/18/2022 19:39:26,D23X30 S3,48.2,-102.85,17,109,341,2493,20.9,112,46,3228,10,164
89733,11/18/2022 22:11:56,D23X30 S3,48.21,-102.86,2,109,797,8435,8.5,590,14,0,0,34
89733,11/19/2022 14:12:27,D23X30 S3,48.2,-102.86,4,112,552,4680,8.5,272,17,0,0,54
89733,11/19/2022 14:25:27,D23X30 S3,48.2,-102.86,7,110,590,5261,10.8,609,15,0,0,84
89733,11/19/2022 14:55:28,D23X30 S3,48.2,-102.86,10,107,656,2893,8,551,15,0,0,114
89733,11/19/2022 14:16:00,D23X30 S3,48.2,-102.86,15,109,1492,15187,6.6,578,22,0,0,164
89733,11/19/2022 14:05:28,D23X30 S3,48.2,-102.86,16,109,1499,15071,7,584,23,3032,23,154
89733,11/19/2022 17:29:31,D23X30 S3,48.21,-102.86,6,110,391,2941,6.9,150,19,0,0,74
89733,11/19/2022 19:28:14,D23X30 S3,48.21,-102.86,14,116,1375,6058,6.5,155,27,3083,51,154
89733,11/19/2022 15:38:55,D23X30 S3,48.21,-102.86,17,110,1618,16195,8,595,18,0,0,184
89733,11/19/2022 13:15:01,D23X30 S3,48.21,-102.86,23,109,466,1664,9.8,117,33,2802,22,224
89733,11/19/2022 18:23:13,D23X30 S3,48.21,-102.86,2,105,788,8303,9.3,573,12,0,0,34
89733,11/19/2022 17:57:07,D23X30 S3,48.21,-102.86,3,113,924,8546,5.7,438,11,0,0,44
89733,11/19/2022 18:13:28,D23X30 S3,48.21,-102.86,6,107,1037,9240,5.7,1027,13,0,0,74
89733,11/19/2022 18:01:02,D23X30 S3,48.21,-102.86,7,116,891,11764,4.3,803,8,0,0,84
89733,11/19/2022 18:03:01,D23X30 S3,48.21,-102.86,8,107,893,11796,4.2,796,9,0,0,94
89733,11/19/2022 18:07:23,D23X30 S3,48.21,-102.86,9,108,609,8483,3.8,246,6,0,0,104
89733,11/19/2022 18:30:03,D23X30 S3,48.21,-102.86,15,105,1582,13402,3.9,270,27,2820,20,144
89733,11/19/2022 21:59:04,D23X30 S3,48.19,-102.87,2,106,638,3092,14,543,28,0,0,34
89733,11/19/2022 19:04:26,D23X30 S3,48.19,-102.87,3,114,645,7473,8.2,543,21,0,0,44
89733,11/19/2022 19:22:13,D23X30 S3,48.19,-102.87,8,114,1004,14120,9.9,581,18,0,0,94
89733,11/19/2022 19:43:23,D23X30 S3,48.19,-102.87,13,109,846,8845,4.7,97,31,2577,28,124
89733,11/19/2022 20:23:39,D23X30 S3,48.19,-102.87,4,116,1132,10459,5.8,257,26,2730,56,54
89733,11/19/2022 19:55:35,D23X30 S3,48.19,-102.87,7,112,992,12830,6,879,12,0,0,84
89733,11/19/2022 19:45:51,D23X30 S3,48.19,-102.87,8,114,1459,25267,6.6,1080,10,0,0,94
89733,11/19/2022 19:48:31,D23X30 S3,48.19,-102.87,9,112,1854,25957,5.6,1465,11,3955,26,104
89733,11/19/2022 19:50:49,D23X30 S3,48.19,-102.87,10,106,1262,25849,6.6,1202,7,4746,30,114
89733,11/19/2022 18:40:22,D23X30 S3,48.19,-102.87,11,115,3031,26001,7.1,1425,7,19557,21,124
89733,11/19/2022 19:04:08,D23X30 S3,48.19,-102.87,12,106,3025,25692,6.8,1427,7,19665,20,134
89733,11/19/2022 19:57:53,D23X30 S3,48.19,-102.87,13,104,1319,23895,4.1,866,9,3681,13,144
89733,11/19/2022 18:36:19,D23X30 S3,48.19,-102.87,14,110,1281,26076,4.5,1460,9,18648,4,154
89733,11/19/2022 19:45:00,D23X30 S3,48.19,-102.87,15,111,3141,25682,4.3,1467,6,22529,8,164
89733,11/19/2022 20:15:21,D23X30 S3,48.19,-102.87,16,112,3062,20344,4.8,1461,3,11029,17,174
89733,11/19/2022 20:20:29,D23X30 S3,48.19,-102.87,17,118,3061,20153,4.4,1637,3,10594,15,184
89733,11/19/2022 20:34:27,D23X30 S3,48.19,-102.87,18,141,2483,22869,6.3,1559,5,14035,7,194
89733,11/19/2022 20:45:43,D23X30 S3,48.19,-102.87,19,146,3105,22915,7.7,1555,5,14950,8,204
89733,11/19/2022 20:30:25,D23X30 S3,48.19,-102.87,20,110,1307,9134,11.3,857,7,0,0,214
89733,11/19/2022 19:26:06,D23X30 S3,48.19,-102.87,21,146,3519,19852,11.4,1328,4,15821,8,224
89733,11/19/2022 19:36:34,D23X30 S3,48.19,-102.87,22,150,3490,20820,3.8,816,4,16495,32,234
89733,11/19/2022 21:23:38,D23X30 S3,48.19,-102.87,23,151,2923,17785,10,602,3,9882,21,224
89733,11/20/2022 0:24:35,D23X30 S3,48.19,-102.87,23,152,3181,19388,6.9,517,3,13963,14,244
89733,11/19/2022 22:29:01,D23X30 S3,48.19,-102.87,24,168,3519,20344,6.8,50,2,14372,7,254
89733,11/19/2022 21:58:58,D23X30 S3,48.19,-102.87,25,122,3304,17978,11,1442,6,8044,21,264
89733,11/19/2022 22:10:27,D23X30 S3,48.19,-102.87,26,118,3307,18567,0.7,1439,6,9225,22,274
89733,11/19/2022 22:15:10,D23X30 S3,48.19,-102.87,27,114,3100,18297,8.7,1476,5,8803,26,284
89733,11/19/2022 22:44:37,D23X30 S3,48.19,-102.87,28,120,3146,19681,7.1,1477,6,13078,34,294
89733,11/19/2022 22:32:50,D23X30 S3,48.19,-102.87,29,148,2271,18526,2.5,1484,3,9862,11,284
89733,11/20/2022 0:02:31,D23X30 S3,48.23,-103.77,2,113,2226,22834,8.3,1207,11,0,0,34
89733,11/20/2022 14:01:48,D23X30 S3,48.23,-103.77,3,113,2560,24937,9.5,1460,9,0,0,44
89733,11/20/2022 14:03:48,D23X30 S3,48.23,-103.77,4,117,2558,24850,7.3,1463,9,0,0,54
89733,11/20/2022 14:17:49,D23X30 S3,48.23,-103.77,6,106,954,9405,5.7,1049,17,0,0,74
89733,11/20/2022 14:41:28,D23X30 S3,48.23,-103.77,11,115,1944,9113,5.6,801,19,0,0,124
89733,11/20/2022 20:29:50,D23X30 S3,48.23,-103.77,3,113,340,1333,5.8,445,19,0,0,44
89733,11/20/2022 15:31:52,D23X30 S3,48.23,-103.77,4,106,304,1482,4.9,96,12,0,0,54
89733,11/20/2022 15:02:42,D23X30 S3,48.23,-103.77,5,109,600,5452,5.4,193,44,0,0,64
89733,11/20/2022 17:13:47,D23X30 S3,48.23,-103.77,8,113,1366,6912,8.7,1118,17,4200,33,94
89733,11/20/2022 15:34:54,D23X30 S3,48.23,-103.77,14,106,1137,10714,5.3,536,12,0,0,154
89733,11/20/2022 15:22:36,D23X30 S3,48.23,-103.77,16,113,2436,12608,6.7,947,12,4727,40,174
89733,11/20/2022 15:10:06,D23X30 S3,48.23,-103.77,18,107,2610,23727,5.1,483,20,2536,9,174
89733,11/20/2022 18:25:11,D23X30 S3,48.23,-103.76,3,108,1062,4277,6.2,201,6,0,0,44
89733,11/20/2022 16:25:19,D23X30 S3,48.23,-103.76,5,142,1735,16725,5.9,221,10,0,0,64
89733,11/20/2022 16:47:01,D23X30 S3,48.23,-103.76,8,114,1434,16576,6,251,28,6149,66,94
89733,11/20/2022 16:34:21,D23X30 S3,48.23,-103.76,9,115,1438,16080,6.1,607,22,6029,65,104
89733,11/20/2022 17:38:00,D23X30 S3,48.23,-103.76,14,109,1003,4530,5.9,451,13,0,0,154
89733,11/20/2022 16:48:56,D23X30 S3,48.23,-103.76,16,110,858,8775,6.1,505,8,0,0,174
89733,11/20/2022 16:43:07,D23X30 S3,48.23,-103.76,17,109,1258,9600,6.2,466,14,0,0,184
89733,11/20/2022 17:02:53,D23X30 S3,48.23,-103.76,19,112,539,5625,5.9,177,11,0,0,204
89733,11/20/2022 16:54:17,D23X30 S3,48.23,-103.76,20,109,758,5081,6,224,13,0,0,214
89733,11/20/2022 16:46:02,D23X30 S3,48.23,-103.76,21,116,1139,14681,6,327,7,0,0,224
89733,11/20/2022 16:59:42,D23X30 S3,48.23,-103.76,23,112,683,6475,6.9,282,17,0,0,244
89733,11/20/2022 17:14:41,D23X30 S3,48.23,-103.76,26,106,456,4657,6.6,356,17,0,0,274
89733,11/20/2022 17:20:02,D23X30 S3,48.23,-103.76,29,115,629,5234,6.1,255,8,0,0,304
89733,11/20/2022 17:01:41,D23X30 S3,48.23,-103.76,30,107,572,7041,7.9,457,16,0,0,314
89733,11/20/2022 17:15:14,D23X30 S3,48.23,-103.76,33,114,912,6233,5.7,289,13,0,0,344
89733,11/20/2022 17:14:28,D23X30 S3,48.23,-103.76,35,112,713,7238,7.6,406,11,0,0,364
89733,11/20/2022 17:10:55,D23X30 S3,48.23,-103.76,36,114,718,7403,7.6,409,8,0,0,374
89733,11/20/2022 17:19:12,D23X30 S3,48.23,-103.76,38,111,890,6118,10.3,527,13,0,0,394
89733,11/20/2022 18:05:30,D23X30 S3,48.23,-103.76,40,107,727,10770,3,128,24,0,0,240
89733,11/20/2022 19:00:44,D23X30 S3,48.23,-103.76,2,105,1160,7066,4.8,310,9,0,0,34
89733,11/20/2022 21:25:34,D23X30 S3,48.23,-103.76,3,131,1679,22027,4.6,552,9,0,0,44
89733,11/20/2022 21:27:17,D23X30 S3,48.23,-103.76,4,113,1806,21625,4.6,961,10,0,0,54
89733,11/20/2022 21:29:28,D23X30 S3,48.23,-103.76,5,114,1788,18257,5.3,1004,8,0,0,64
89733,11/20/2022 21:35:11,D23X30 S3,48.23,-103.76,6,107,1536,6870,4.5,787,11,0,0,74
89733,11/20/2022 21:39:19,D23X30 S3,48.23,-103.76,7,109,926,4810,5.2,323,13,0,0,84
89733,11/20/2022 21:46:57,D23X30 S3,48.23,-103.76,9,107,698,6497,6,378,16,0,0,104
